종목명,종목코드,권장호라이즌,요약점수(h1),요약점수(h2),요약점수(h3),h1_MAPE(%),h1_DirAcc(%),h1_Bias,h1_MAE,h1_count,last_close,매수가(entry),익절가(tp),손절가(sl),RR,h2_MAPE(%),h2_DirAcc(%),h2_Bias,h2_MAE,h2_count,h3_MAPE(%),h3_DirAcc(%),h3_Bias,h3_MAE,h3_count
HD현대인프라코어,042670,h1,1.175,1.875,1.3,9.338839455404605,47.61904761904761,-1419.457719298296,1445.4312973244243,43.0,144543.13,144181.77,147144.91,143097.7,2.73,,,,,,,,,,
LG이노텍,011070,h1,0.55,1.1,1.6,1.9225837002286603,33.33333333333333,-1160.8633056629528,3251.783231385918,43.0,325178.32,324365.38,331031.53,321926.54,2.73,,,,,,,,,,
SK스퀘어,402340,h1,0.75,1.95,1.25,2.7400162478640144,52.38095238095239,-1028.3341908177665,4488.977871800579,43.0,448897.79,447775.54,456977.95,444408.81,2.73,,,,,,,,,,
삼성전자,005930,h1,0.75,1.3,1.8,1.806789243868602,35.714285714285715,-936.5508319333542,1320.20175997601,43.0,132020.18,131690.13,134396.54,130699.97,2.73,,,,,,,,,,
신세계,004170,h1,0.35,1.3,1.6,1.770478970300281,54.761904761904766,1428.4672501475332,3101.1783957481366,43.0,310117.84,309342.54,315699.96,307016.66,2.73,,,,,,,,,,
호텔신라,008770,h1,0.35,1.5,1.4,1.5186389432734726,52.38095238095239,193.5616326193482,745.7637902609135,43.0,100000.0,99813.56,101342.37,99254.24,2.73,,,,,,,,,,
LG디스플레이,034220,h2,1.45,1.3,1.4,,,,,,100000.0,99900.65,100715.32,99602.6,2.73,3.290353362756674,47.61904761904761,-213.5906885919118,397.4021759203504,42.0,,,,,
한미약품,128940,h2,1.05,1.05,1.55,,,,,,896603.35,894361.84,912742.21,887637.32,2.73,2.9022264974263634,52.38095238095239,1226.358637213707,8966.033509089833,42.0,,,,,
삼성물산,028260,h3,1.45,1.95,0.75,,,,,,495103.74,493865.98,504015.61,490152.7,2.73,,,,,,2.821534504995475,51.21951219512195,-2426.694307385419,4951.037409828929,41.0
지역난방공사,071320,h3,1.375,1.725,1.05,,,,,,268408.82,267737.8,273240.18,265724.73,2.73,,,,,,3.226573175335026,48.78048780487805,-1178.9760875992656,2684.0882134146805,41.0
