Ticker,Name,Marcap,Score,rsi30,momentum_pos,macd_cross,ema5_over_ema20,ema20_over_ema60,rs_plus,vol_120,vol_150,frg_own_1m_up,frg_3_pos,frg_5_pos,ins_3_pos,ins_5_pos
443060,두산,9638280150000.0,40,0,10,0,0,0,10,0,10,0,5,5,0,0
402340,LG화학,19947399129000.0,35,0,10,0,5,0,10,0,0,0,0,0,5,5
003230,SK텔레콤,11789168475000.0,35,0,10,0,0,0,10,5,0,0,0,0,5,5
028050,넷마블,5733000000000.0,35,0,10,0,0,0,10,5,0,0,5,5,0,0
006260,두산밥캣,5731600000000.0,35,0,10,0,0,0,10,5,0,0,0,0,5,5
329180,한화에어로스페이스,46428339668000.0,30,0,10,0,0,0,10,0,10,0,0,0,0,0
000270,KB금융,41781041547000.0,30,0,10,0,0,0,10,0,0,0,5,5,0,0
012330,HD한국조선해양,29099044798000.0,30,0,10,0,0,0,10,0,10,0,0,0,0,0
009540,삼성생명,28875431328000.0,30,0,10,0,0,0,10,0,10,0,0,0,0,0
032830,카카오,28500000000000.0,30,0,10,0,0,0,10,0,0,0,5,5,0,0
010130,크래프톤,16338990768000.0,30,0,10,0,0,0,10,0,0,0,0,0,5,5
259960,SK이노베이션,15592371354000.0,30,0,10,0,0,0,10,0,0,0,0,0,5,5
034730,현대글로비스,15008059521000.0,30,0,10,0,0,0,10,0,10,0,0,0,0,0
086280,KT,13800000000000.0,30,0,10,10,0,0,10,0,0,0,0,0,0,0
018260,미래에셋증권,11436438840000.0,30,10,10,10,0,0,0,0,0,0,0,0,0,0
006800,LIG넥스원,10904449720960.0,30,0,10,0,5,0,10,5,0,0,0,0,0,0
047810,DB손해보험,9299125207800.0,30,0,10,0,0,0,10,0,0,0,5,5,0,0
138930,한미약품,4530866469140.0,30,0,10,0,0,0,10,0,0,0,0,0,5,5
175330,강원랜드,4502363041200.0,30,0,10,0,0,0,10,0,0,0,5,5,0,0
271560,한국가스공사,4261995029600.0,30,0,10,10,0,0,0,0,0,0,5,5,0,0
000810,SK스퀘어,20474963975000.0,25,0,10,0,0,0,10,0,0,0,5,0,0,0
010140,우리금융지주,18832000000000.0,25,0,10,0,0,0,10,5,0,0,0,0,0,0
009150,삼성전기,11988338208000.0,25,0,10,0,0,0,10,0,0,0,0,0,5,0
034220,삼성카드,5960000000000.0,25,0,10,0,0,0,10,0,0,0,0,0,5,0
036570,LG이노텍,4351892444000.0,25,0,10,0,0,0,10,0,0,0,0,0,5,0
000660,SK하이닉스,195832636185000.0,20,0,10,0,5,0,0,0,0,0,0,0,5,0
055550,현대모비스,31557170710000.0,20,10,0,0,0,0,0,0,0,0,0,0,5,5
028260,삼성물산,28624050009600.0,20,0,10,0,0,0,10,0,0,0,0,0,0,0
035720,하나금융지주,27632799937500.0,20,0,0,0,0,0,10,0,0,0,5,5,0,0
086790,한국전력,23546665620300.0,20,0,10,0,0,0,0,0,0,0,0,0,5,5
267260,삼성SDI,17843331825000.0,20,0,10,0,0,0,10,0,0,0,0,0,0,0
033780,고려아연,16490643344700.0,20,10,0,0,0,0,10,0,0,0,0,0,0,0
352820,카카오뱅크,11974977887500.0,20,0,10,0,0,0,10,0,0,0,0,0,0,0
298040,삼성에스디에스,11590413164000.0,20,0,10,0,0,0,10,0,0,0,0,0,0,0
005830,한국항공우주,9331440000000.0,20,0,10,0,0,0,10,0,0,0,0,0,0,0
010620,카카오페이,8228082694000.0,20,0,10,0,0,0,0,0,10,0,0,0,0,0
005940,NH투자증권,6909517314910.0,20,0,10,0,0,0,0,0,0,0,0,0,5,5
032640,LG디스플레이,6348564803350.0,20,0,0,0,0,0,10,0,0,0,5,5,0,0
000880,삼성증권,6334013107500.0,20,0,10,10,0,0,0,0,0,0,0,0,0,0
039490,한국타이어앤테크놀로지,5352904678500.0,20,0,10,0,0,0,0,0,0,0,5,5,0,0
251270,BNK금융지주,5157210120000.0,20,0,0,0,0,0,10,0,0,0,5,5,0,0
001040,GS,4653731181000.0,20,0,10,0,0,0,10,0,0,0,0,0,0,0
078930,SK바이오사이언스,4209066623400.0,20,0,10,10,0,0,0,0,0,0,0,0,0,0
064350,삼성화재,21020805631800.0,15,0,10,0,5,0,0,0,0,0,0,0,0,0
003550,삼양식품,11809562491500.0,15,0,10,0,0,0,0,5,0,0,0,0,0,0
017670,효성중공업,11663099877900.0,15,10,0,0,0,0,0,5,0,0,0,0,0,0
010120,에이피알,8565000000000.0,15,0,10,0,0,0,0,0,0,0,5,0,0,0
042700,한미반도체,8311223840000.0,15,0,10,0,0,0,0,0,0,0,5,0,0,0
016360,LS,6134910000000.0,15,0,10,0,0,0,0,0,0,0,0,0,5,0
005380,기아,44841950754000.0,10,0,0,0,0,0,10,0,0,0,0,0,0,0
105560,두산에너빌리티,41541223016700.0,10,0,10,0,0,0,0,0,0,0,0,0,0,0
042660,NAVER,34471506825000.0,10,0,0,0,0,0,10,0,0,0,0,0,0,0
035420,신한지주,33723317170000.0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
138040,HMM,22843836623700.0,10,0,0,0,0,0,10,0,0,0,0,0,0,0
316140,HD현대일렉트릭,18379139649750.0,10,0,0,0,0,0,10,0,0,0,0,0,0,0
006400,KT&G,16640911945000.0,10,0,0,0,0,0,10,0,0,0,0,0,0,0
003670,하이브,12648152484000.0,10,0,0,0,0,0,10,0,0,0,0,0,0,0
323410,LG,11829362837600.0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
267250,HD현대마린솔루션,10743059560000.0,10,0,10,0,0,0,0,0,0,0,0,0,0,0
000150,유한양행,9220299930000.0,10,0,10,0,0,0,0,0,0,0,0,0,0,0
003490,LS ELECTRIC,8745240698750.0,10,0,0,0,0,0,10,0,0,0,0,0,0,0
278470,HD현대미포,8478043357500.0,10,0,0,0,0,0,10,0,0,0,0,0,0,0
326030,한진칼,7713855125000.0,10,0,0,0,0,0,10,0,0,0,0,0,0,0
021240,한국금융지주,7500122571900.0,10,0,0,0,0,0,0,0,0,0,0,0,5,5
180640,코웨이,7450670336400.0,10,0,0,0,0,0,10,0,0,0,0,0,0,0
071050,현대건설,7444992531200.0,10,0,10,0,0,0,0,0,0,0,0,0,0,0
090430,아모레퍼시픽,7036678907700.0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
010950,LG유플러스,6766225799200.0,10,0,10,0,0,0,0,0,0,0,0,0,0,0
029780,키움증권,5816116328200.0,10,0,0,0,0,0,10,0,0,0,0,0,0,0
161390,CJ,4985971527250.0,10,0,10,0,0,0,0,0,0,0,0,0,0,0
004020,두산로보틱스,4263592830750.0,10,0,0,0,0,0,0,0,0,0,5,5,0,0
015760,POSCO홀딩스,23207001383550.0,5,0,0,0,0,0,0,0,0,0,5,0,0,0
051900,현대제철,4607368115000.0,5,0,0,0,0,0,0,0,0,0,5,0,0,0
005930,삼성전자,414966618332200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373220,LG에너지솔루션,82602000000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207940,삼성바이오로직스,71529870000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
012450,현대차,45788300088000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
034020,셀트리온,39586678822800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
068270,한화오션,38797777872000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005490,메리츠금융지주,23025424844000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
011200,현대로템,22704624836400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
051910,삼성중공업,19589375182500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
096770,SK,15224305420800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
024110,기업은행,15182988545760.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030200,포스코퓨처엠,13483160147500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
066570,LG전자,12086169915400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
079550,HD현대,10758000000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272210,한화시스템,9691564655700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000100,대한항공,9108404974300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
047050,포스코인터내셔널,8435497684600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377300,SK바이오팜,8050386679200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000720,S-Oil,6881786277000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241560,LG생활건강,5137885084000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009830,JB금융지주,4864558768800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
